,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
DSS,,,,,,,,,,,,,,,,,,49th,,,,,25th,,,,,33rd,,,,,5th,,,,,33rd,,,,,,,,,,,
DarkAura,,,,,,,,,,,,9th,,,,,,,,,33rd,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,
Umeki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
Sells,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Pink Fresh,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew2King,,4th,,,,5th,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hushpuppy,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WiiASE,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,
Vivid,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTreezy,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,
Black Yoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
aperture,,,,,,,,,,,,,,,,,,,,,33rd,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,5th,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,,,,,,49th,,,,,,,,,,,
2scoops Nicko,,,,,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,
Kswz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17th,,,,,,,,
SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
Pyreeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,
MastaMario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,
Sonido,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13th,,,,,
Shaky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4th,,,,,,,,,,,,,,,,
Dandy Penguin,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
FILIP,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuma,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brosinex,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,
Phoenix,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycan,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slenderman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
Gackt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17th,,,,,,,,,,,,,,,,,,5th,,
Remzi,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17th,,,,,,,,
Aki,,,,,,,,,,,,,,,,,,,,,,,,,,1st,,,,,,,,,,,,,,,,,,,,,,,
Dynamo,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Omega Tyrant,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,
Supahsemmie,,,,,,,5th,,,,,,,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,
Grizz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,9th,,,,,,,,,,,,,,,,,
Hammer,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
